124.1379;23.485;23.5066;23.5067;23.5152;23.5397;23.5829;23.6446;23.7231;23.8161;23.9213;24.0363;24.1595;24.2891;24.4238;24.5625;24.7044;24.8487;24.9948;25.1423;25.2906;25.4396;25.5892;25.7395;25.8881;26.0306;26.1761;26.3802;26.694;26.6905;24.1379
131.0345;30.3301;30.3528;30.3528;30.3521;30.3548;30.3641;30.3824;30.4112;30.4508;30.5008;30.5608;30.6297;30.7067;30.7908;30.8812;30.9769;31.0774;31.1819;31.2899;31.4009;31.5143;31.6301;31.7481;31.8677;31.9852;32.1016;32.2536;32.5154;32.6815;31.0345
137.931;37.1751;37.1978;37.1985;37.198;37.1976;37.1988;37.203;37.2118;37.2263;37.2474;37.2754;37.3104;37.3523;37.4008;37.4554;37.5158;37.5815;37.6519;37.7267;37.8055;37.8879;37.9733;38.0618;38.1531;38.2452;38.3368;38.4509;38.6615;38.9028;37.931
144.8276;44.0201;44.0428;44.0436;44.0438;44.044;44.0448;44.0465;44.0499;44.0559;44.0653;44.0785;44.0962;44.1186;44.1459;44.178;44.2149;44.2564;44.3024;44.3526;44.4067;44.4646;44.5259;44.5903;44.6576;44.7267;44.796;44.8807;45.0473;45.3137;44.8276
151.7241;50.8651;50.8878;50.8891;50.8902;50.892;50.8945;50.8978;50.902;50.9073;50.9141;50.9229;50.9341;50.948;50.9649;50.985;51.0085;51.0354;51.0658;51.0996;51.1368;51.1772;51.2207;51.2671;51.3162;51.3668;51.417;51.4772;51.6058;51.8702;51.7241
158.6207;57.7101;57.7332;57.736;57.7395;57.7444;57.7505;57.7576;57.7653;57.7736;57.7826;57.7924;57.8032;57.8152;57.8287;57.844;57.8613;57.8807;57.9024;57.9264;57.9529;57.9819;58.0134;58.0473;58.0835;58.1207;58.1562;58.1957;58.2897;58.5354;58.6207
165.5172;64.5552;64.58;64.5869;64.596;64.6071;64.6196;64.6328;64.6463;64.6599;64.6734;64.6868;64.7003;64.714;64.728;64.7426;64.758;64.7744;64.792;64.8109;64.8313;64.8534;64.8771;64.9027;64.9301;64.9584;64.9839;65.0072;65.0686;65.2822;65.5172
172.4138;71.4008;71.4315;71.4492;71.4699;71.492;71.5144;71.5363;71.5574;71.5775;71.5966;71.6148;71.632;71.6486;71.6646;71.6803;71.6959;71.7116;71.7275;71.7439;71.761;71.7788;71.7976;71.8175;71.8389;71.8612;71.881;71.8934;71.9249;72.094;72.4138
179.3103;78.2485;78.2996;78.3413;78.3825;78.421;78.4563;78.4883;78.5174;78.5438;78.568;78.5901;78.6105;78.6294;78.647;78.6636;78.6795;78.6948;78.7097;78.7244;78.7391;78.754;78.7692;78.7849;78.8015;78.8191;78.8355;78.8429;78.8503;78.9637;79.3103
186.2069;85.105;85.2229;85.3073;85.3762;85.4326;85.4794;85.5188;85.5527;85.5821;85.608;85.631;85.6516;85.6702;85.6872;85.7028;85.7173;85.7309;85.7438;85.7561;85.7681;85.7798;85.7915;85.8031;85.8151;85.8279;85.8409;85.8475;85.8417;85.8934;86.2069
193.1034;91.9595;92.2971;92.443;92.5305;92.5907;92.6354;92.6703;92.6986;92.7221;92.7421;92.7593;92.7744;92.7877;92.7997;92.8104;92.8202;92.8292;92.8376;92.8454;92.8529;92.86;92.867;92.8737;92.8805;92.8875;92.8952;92.901;92.8956;92.8964;93.1034
200.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
